date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Wolfsburg,2.0,1.2,40.0,17500.0,Oliver Baumann,3-5-2,Felix Zwayer,Match Report,,10.0,5.0,16.9,1.0,0.0,0.0,Hoffenheim
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3.0,1.0,Köln,1.0,1.0,44.0,49300.0,Oliver Baumann,3-5-2,Daniel Siebert,Match Report,,13.0,5.0,20.6,2.0,0.0,0.0,Hoffenheim
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,6.0,0.0,TuS Makkabi Berlin,,,66.0,4800.0,Koen Casteels,4-2-3-1,Riem Hussein,Match Report,,18.0,13.0,,,0.0,0.0,Wolfsburg
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,2.0,0.0,Heidenheim,2.2,1.2,48.0,22620.0,Koen Casteels,4-3-3,Florian Badstübner,Match Report,,18.0,8.0,15.5,0.0,0.0,0.0,Wolfsburg
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2.0,1.0,Köln,1.7,0.9,50.0,49500.0,Koen Casteels,4-3-3,Matthias Jöllenbeck,Match Report,,9.0,6.0,13.7,0.0,0.0,0.0,Wolfsburg
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1.0,3.0,Hoffenheim,1.2,2.0,60.0,17500.0,Maximilian Arnold,4-3-3,Felix Zwayer,Match Report,,13.0,7.0,16.7,1.0,0.0,0.0,Wolfsburg
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2.0,1.0,Union Berlin,0.4,1.1,44.0,21917.0,Maximilian Arnold,4-2-3-1,Felix Brych,Match Report,,8.0,3.0,21.4,1.0,0.0,0.0,Wolfsburg
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,6.0,1.0,TSV Schott Mainz,,,73.0,30312.0,Emre Can,4-2-3-1,Benjamin Brand,Match Report,,24.0,10.0,,,0.0,0.0,Dortmund
2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Köln,1.8,1.2,66.0,81365.0,Emre Can,4-2-3-1,Deniz Aytekin,Match Report,,13.0,2.0,12.5,0.0,0.0,0.0,Dortmund
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1.0,1.0,Bochum,1.3,1.0,64.0,26000.0,Emre Can,4-2-3-1,Robert Schröder,Match Report,,14.0,3.0,15.4,0.0,0.0,0.0,Dortmund
2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Home,D,2.0,2.0,Heidenheim,3.4,2.1,62.0,81365.0,Emre Can,4-3-3,Tobias Reichel,Match Report,,18.0,7.0,18.3,2.0,1.0,1.0,Dortmund
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,4.0,2.0,Freiburg,2.3,1.0,50.0,34700.0,Emre Can,4-3-3,Tobias Stieler,Match Report,,15.0,7.0,13.8,0.0,0.0,0.0,Dortmund
2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,fr Paris S-G,0.6,2.4,33.0,47379.0,Emre Can,3-5-2,Jesús Gil,Match Report,,14.0,1.0,19.8,0.0,0.0,0.0,Dortmund
2023-08-13,18:00,DFB-Pokal,Round of 64,Sun,Away,W,4.0,0.0,Astoria Walldorf,,,49.0,,Rani Khedira,3-4-3,Wolfgang Haslberger,Match Report,,18.0,8.0,,,1.0,1.0,Union Berlin
2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Home,W,4.0,1.0,Mainz 05,1.9,2.3,47.0,22012.0,Christopher Trimmel,5-3-2,Tobias Stieler,Match Report,,11.0,6.0,14.8,2.0,0.0,0.0,Union Berlin
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,4.0,1.0,Darmstadt 98,1.7,2.3,27.0,17810.0,Danilho Doekhi,3-5-2,Patrick Ittrich,Match Report,,13.0,6.0,15.3,0.0,0.0,0.0,Union Berlin
2023-09-03,17:30,Bundesliga,Matchweek 3,Sun,Home,L,0.0,3.0,RB Leipzig,0.3,1.2,36.0,,Danilho Doekhi,3-4-3,Daniel Schlager,Match Report,,3.0,1.0,21.7,1.0,0.0,0.0,Union Berlin
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1.0,2.0,Wolfsburg,1.1,0.4,56.0,21917.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,19.0,6.0,14.8,0.0,0.0,0.0,Union Berlin
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,7.0,0.0,Loko Leipzig,,,67.0,,Makoto Hasebe,3-4-3,Michael Bacher,Match Report,,16.0,11.0,,,0.0,0.0,Eintracht Frankfurt
2023-08-20,17:30,Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Darmstadt 98,1.5,0.5,61.0,54000.0,Sebastian Rode,3-4-3,Harm Osmers,Match Report,,9.0,3.0,14.0,0.0,0.0,0.0,Eintracht Frankfurt
2023-08-24,20:00,Conf Lg,Play-off round,Thu,Away,D,1.0,1.0,bg Levski Sofia,,,,35000.0,Kevin Trapp,3-4-3,Adam Ladebäck,Match Report,Leg 1 of 2,,,,,0.0,0.0,Eintracht Frankfurt
2023-08-27,15:30,Bundesliga,Matchweek 2,Sun,Away,D,1.0,1.0,Mainz 05,1.1,1.2,60.0,33305.0,Kevin Trapp,3-4-3,Bastian Dankert,Match Report,,7.0,1.0,15.1,1.0,0.0,0.0,Eintracht Frankfurt
2023-08-31,20:30,Conf Lg,Play-off round,Thu,Home,W,2.0,0.0,bg Levski Sofia,,,,46000.0,Kevin Trapp,3-4-3,Allard Lindhout,Match Report,Leg 2 of 2; Eint Frankfurt won,,,,,0.0,0.0,Eintracht Frankfurt
2023-09-03,15:30,Bundesliga,Matchweek 3,Sun,Home,D,1.0,1.0,Köln,1.1,0.9,65.0,54000.0,Kevin Trapp,3-4-3,Florian Badstübner,Match Report,,13.0,2.0,14.3,0.0,0.0,0.0,Eintracht Frankfurt
2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1.0,1.0,Bochum,0.6,2.0,51.0,,Kevin Trapp,3-4-3,Benjamin Brand,Match Report,,8.0,6.0,21.8,0.0,0.0,0.0,Eintracht Frankfurt
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,2.0,0.0,SV Oberachern,,,76.0,24500.0,Vincenzo Grifo,3-5-2,Richard Hempel,Match Report,,30.0,11.0,,,0.0,0.0,Freiburg
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,W,2.0,1.0,Hoffenheim,2.6,1.4,50.0,25890.0,Christian Günter,4-2-2-2,Sven Jablonski,Match Report,,18.0,7.0,14.8,0.0,0.0,0.0,Freiburg
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,W,1.0,0.0,Werder Bremen,2.4,1.0,49.0,34700.0,Vincenzo Grifo,4-2-2-2,Benjamin Brand,Match Report,,23.0,7.0,15.6,0.0,0.0,0.0,Freiburg
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,0.0,5.0,Stuttgart,1.0,1.7,52.0,54300.0,Vincenzo Grifo,4-2-3-1,Felix Brych,Match Report,,13.0,7.0,13.7,0.0,0.0,0.0,Freiburg
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,2.0,4.0,Dortmund,1.0,2.3,50.0,34700.0,Maximilian Eggestein,4-2-3-1,Tobias Stieler,Match Report,,15.0,4.0,15.8,1.0,0.0,0.0,Freiburg
2023-08-13,13:00,DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,,63.0,3500.0,Patrick Mainka,4-1-3-2,Nicolas Winter,Match Report,,39.0,21.0,,,0.0,0.0,Heidenheim
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,1.2,2.2,52.0,22620.0,Patrick Mainka,4-1-3-2,Florian Badstübner,Match Report,,14.0,1.0,16.3,0.0,0.0,0.0,Heidenheim
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,2.4,3.0,38.0,15000.0,Patrick Mainka,4-4-2,Robert Hartmann,Match Report,,19.0,7.0,18.2,1.0,0.0,1.0,Heidenheim
2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,2.1,3.4,38.0,81365.0,Patrick Mainka,4-2-3-1,Tobias Reichel,Match Report,,13.0,5.0,19.6,1.0,1.0,1.0,Heidenheim
2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,2.2,3.0,41.0,15000.0,Patrick Mainka,4-2-3-1,Patrick Ittrich,Match Report,,17.0,4.0,18.2,1.0,1.0,1.0,Heidenheim
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,L,2.0,3.0,Viktoria Köln,,,38.0,8343.0,Niclas Füllkrug,3-4-3,Frank Willenborg,Match Report,,9.0,5.0,,,1.0,1.0,Werder Bremen
2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,L,0.0,4.0,Bayern Munich,0.6,2.8,28.0,42100.0,Marco Friedl,3-1-4-2,Felix Zwayer,Match Report,,6.0,1.0,20.7,1.0,0.0,0.0,Werder Bremen
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,L,0.0,1.0,Freiburg,1.0,2.4,51.0,34700.0,Marco Friedl,3-1-4-2,Benjamin Brand,Match Report,,15.0,1.0,19.8,1.0,0.0,0.0,Werder Bremen
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,4.0,0.0,Mainz 05,2.7,0.5,45.0,41000.0,Marco Friedl,3-5-2,Robert Schröder,Match Report,,12.0,5.0,14.7,0.0,1.0,1.0,Werder Bremen
2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Away,L,2.0,4.0,Heidenheim,3.0,2.2,59.0,15000.0,Marco Friedl,3-5-2,Patrick Ittrich,Match Report,,10.0,3.0,15.9,0.0,0.0,1.0,Werder Bremen
2023-08-12,18:00,DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,,58.0,21452.0,Anthony Losilla,4-3-3,Sven Jablonski,Match Report,Arminia won on penalty kicks following extra time,22.0,7.0,,,0.0,0.0,Bochum
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,0.8,3.0,40.0,53000.0,Anthony Losilla,3-4-3,Daniel Siebert,Match Report,,4.0,1.0,11.8,0.0,0.0,0.0,Bochum
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,1.0,1.3,36.0,26000.0,Anthony Losilla,3-5-2,Robert Schröder,Match Report,,20.0,7.0,17.8,0.0,0.0,0.0,Bochum
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,1.6,1.9,62.0,27424.0,Anthony Losilla,3-5-2,Martin Petersen,Match Report,,21.0,8.0,20.6,2.0,0.0,0.0,Bochum
2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,2.0,0.6,49.0,,Anthony Losilla,3-5-2,Benjamin Brand,Match Report,,21.0,6.0,21.7,1.0,1.0,1.0,Bochum
2023-08-11,18:00,DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,,59.0,16098.0,Jonas Omlin,4-2-3-1,Alexander Sather,Match Report,,23.0,10.0,,,0.0,0.0,Monchengladbach
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,1.7,2.3,44.0,30660.0,Jonas Omlin,4-2-3-1,Daniel Schlager,Match Report,,9.0,4.0,17.0,0.0,1.0,1.0,Monchengladbach
2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,0.9,2.7,40.0,54042.0,Jonas Omlin,5-4-1,Christian Dingert,Match Report,,12.0,2.0,19.4,0.0,0.0,0.0,Monchengladbach
2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,0.3,2.4,35.0,54042.0,Julian Weigl,4-5-1,Deniz Aytekin,Match Report,,7.0,3.0,24.5,1.0,0.0,0.0,Monchengladbach
2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,3.9,1.2,63.0,17810.0,Julian Weigl,4-2-3-1,Timo Gerach,Match Report,,21.0,9.0,16.0,0.0,0.0,1.0,Monchengladbach
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,,63.0,12500.0,Ermedin Demirović,4-4-2,Timo Gerach,Match Report,,16.0,3.0,,,0.0,0.0,Augsburg
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,D,4.0,4.0,M'Gladbach,2.3,1.7,56.0,30660.0,Ermedin Demirović,4-2-2-2,Daniel Schlager,Match Report,,19.0,6.0,19.1,1.0,1.0,1.0,Augsburg
