date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team
2022-10-26,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,fr Marseille,1.1,0.7,44.0,48700.0,Kevin Trapp,3-4-3,Jesús Gil,Match Report,,9.0,4.0,13.9,0.0,0.0,0.0,Eintracht Frankfurt
2022-10-29,18:30,Bundesliga,Matchweek 12,Sat,Home,L,1,2,Dortmund,1.9,0.6,58.0,50000.0,Sebastian Rode,3-4-3,Sascha Stegemann,Match Report,,20.0,6.0,16.8,1.0,0.0,0.0,Eintracht Frankfurt
2022-11-01,20:00,Champions Lg,Group stage,Tue,Away,W,2,1,pt Sporting CP,1.2,0.5,54.0,41744.0,Kevin Trapp,3-4-3,Slavko Vinčič,Match Report,,5.0,3.0,16.0,0.0,1.0,1.0,Eintracht Frankfurt
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2,1,Augsburg,1.2,1.2,58.0,30087.0,Sebastian Rode,3-4-3,Deniz Aytekin,Match Report,,12.0,7.0,17.6,1.0,0.0,0.0,Eintracht Frankfurt
2022-11-09,20:30,Bundesliga,Matchweek 14,Wed,Home,W,4,2,Hoffenheim,2.8,1.8,51.0,49000.0,Kevin Trapp,3-4-3,Felix Zwayer,Match Report,,14.0,7.0,17.1,0.0,0.0,0.0,Eintracht Frankfurt
2022-11-13,15:30,Bundesliga,Matchweek 15,Sun,Away,D,1,1,Mainz 05,1.8,1.5,60.0,33305.0,Kevin Trapp,3-4-3,Robert Schröder,Match Report,,10.0,3.0,19.3,2.0,0.0,0.0,Eintracht Frankfurt
2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Home,W,3,0,Schalke 04,1.2,1.8,43.0,50000.0,Kevin Trapp,3-4-3,Marco Fritz,Match Report,,12.0,3.0,14.5,0.0,0.0,0.0,Eintracht Frankfurt
2023-01-25,20:30,Bundesliga,Matchweek 17,Wed,Away,D,1,1,Freiburg,0.2,1.9,56.0,34700.0,Djibril Sow,3-4-3,Deniz Aytekin,Match Report,,4.0,2.0,17.9,0.0,0.0,0.0,Eintracht Frankfurt
2023-01-28,18:30,Bundesliga,Matchweek 18,Sat,Away,D,1,1,Bayern Munich,0.6,1.6,33.0,75000.0,Sebastian Rode,3-4-3,Sven Jablonski,Match Report,,8.0,1.0,14.7,0.0,0.0,0.0,Eintracht Frankfurt
2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Home,W,3,0,Hertha BSC,2.2,0.9,62.0,49500.0,Makoto Hasebe,3-4-3,Robert Hartmann,Match Report,,9.0,3.0,17.9,0.0,1.0,1.0,Eintracht Frankfurt
2023-02-07,20:45,DFB-Pokal,Round of 16,Tue,Home,W,4,2,Darmstadt 98,,,60.0,49500.0,Sebastian Rode,3-4-3,Felix Zwayer,Match Report,,13.0,5.0,,,0.0,0.0,Eintracht Frankfurt
2023-02-12,17:30,Bundesliga,Matchweek 20,Sun,Away,L,0,3,Köln,0.3,1.2,57.0,50000.0,Makoto Hasebe,3-4-3,Daniel Siebert,Match Report,,6.0,1.0,14.8,0.0,0.0,0.0,Eintracht Frankfurt
2023-02-18,18:30,Bundesliga,Matchweek 21,Sat,Home,W,2,0,Werder Bremen,2.1,0.3,45.0,50000.0,Kevin Trapp,3-4-3,Bastian Dankert,Match Report,,11.0,6.0,16.8,0.0,0.0,0.0,Eintracht Frankfurt
2023-02-21,21:00,Champions Lg,Round of 16,Tue,Home,L,0,2,it Napoli,0.4,2.8,31.0,47500.0,Kevin Trapp,3-4-3,Artur Dias,Match Report,Leg 1 of 2,5.0,1.0,19.3,0.0,0.0,0.0,Eintracht Frankfurt
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Away,L,1,2,RB Leipzig,0.8,1.7,47.0,47069.0,Sebastian Rode,3-4-3,Felix Brych,Match Report,,7.0,4.0,14.3,1.0,0.0,0.0,Eintracht Frankfurt
2023-03-05,17:30,Bundesliga,Matchweek 23,Sun,Away,D,2,2,Wolfsburg,0.6,1.9,48.0,27853.0,Sebastian Rode,3-4-3,Daniel Schlager,Match Report,,10.0,2.0,16.8,0.0,0.0,0.0,Eintracht Frankfurt
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Stuttgart,0.7,0.8,52.0,50000.0,Sebastian Rode,3-4-3,Robert Hartmann,Match Report,,10.0,1.0,18.9,0.0,0.0,0.0,Eintracht Frankfurt
2023-03-15,21:00,Champions Lg,Round of 16,Wed,Away,L,0,3,it Napoli,1.1,2.7,40.0,49082.0,Sebastian Rode,4-2-3-1,Anthony Taylor,Match Report,Leg 2 of 2; Napoli won,8.0,1.0,15.9,0.0,0.0,0.0,Eintracht Frankfurt
2023-03-19,15:30,Bundesliga,Matchweek 25,Sun,Away,L,0,2,Union Berlin,2.7,1.3,63.0,22012.0,Kevin Trapp,3-4-3,Christian Dingert,Match Report,,19.0,5.0,15.2,0.0,0.0,0.0,Eintracht Frankfurt
2023-03-31,20:30,Bundesliga,Matchweek 26,Fri,Home,D,1,1,Bochum,3.1,1.1,73.0,51500.0,Sebastian Rode,3-4-3,Harm Osmers,Match Report,,18.0,5.0,13.9,1.0,1.0,1.0,Eintracht Frankfurt
2023-04-04,18:00,DFB-Pokal,Quarter-finals,Tue,Home,W,2,0,Union Berlin,,,61.0,50000.0,Sebastian Rode,3-4-3,Bastian Dankert,Match Report,,9.0,3.0,,,0.0,0.0,Eintracht Frankfurt
2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,L,1,3,Leverkusen,0.9,2.1,57.0,30210.0,Sebastian Rode,3-4-3,Robert Hartmann,Match Report,,9.0,2.0,14.3,0.0,0.0,0.0,Eintracht Frankfurt
2023-04-15,18:30,Bundesliga,Matchweek 28,Sat,Home,D,1,1,M'Gladbach,2.2,1.2,59.0,50000.0,Sebastian Rode,3-4-3,Sven Jablonski,Match Report,,16.0,5.0,16.6,1.0,0.0,0.0,Eintracht Frankfurt
2023-04-22,18:30,Bundesliga,Matchweek 29,Sat,Away,L,0,4,Dortmund,0.6,1.1,45.0,81365.0,Sebastian Rode,3-4-3,Deniz Aytekin,Match Report,,9.0,2.0,15.8,0.0,0.0,0.0,Eintracht Frankfurt
2023-04-29,15:30,Bundesliga,Matchweek 30,Sat,Home,D,1,1,Augsburg,0.6,0.7,59.0,50000.0,Sebastian Rode,3-4-3,Frank Willenborg,Match Report,,7.0,1.0,18.6,0.0,0.0,0.0,Eintracht Frankfurt
2023-05-03,20:45,DFB-Pokal,Semi-finals,Wed,Away,W,3,2,Stuttgart,,,46.0,47500.0,Sebastian Rode,3-4-3,Daniel Schlager,Match Report,,11.0,4.0,,,1.0,1.0,Eintracht Frankfurt
2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Away,L,1,3,Hoffenheim,2.2,2.2,68.0,30000.0,Makoto Hasebe,3-4-3,Harm Osmers,Match Report,,19.0,6.0,16.2,0.0,0.0,0.0,Eintracht Frankfurt
2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Home,W,3,0,Mainz 05,2.2,1.0,55.0,50000.0,Sebastian Rode,3-4-3,Felix Brych,Match Report,,17.0,5.0,18.3,0.0,1.0,1.0,Eintracht Frankfurt
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Away,D,2,2,Schalke 04,1.6,1.0,50.0,61575.0,Sebastian Rode,3-4-3,Daniel Schlager,Match Report,,6.0,2.0,14.5,0.0,0.0,0.0,Eintracht Frankfurt
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2,1,Freiburg,2.1,1.6,61.0,50500.0,Makoto Hasebe,3-4-3,Deniz Aytekin,Match Report,,15.0,6.0,14.5,0.0,0.0,0.0,Eintracht Frankfurt
2023-06-03,20:00,DFB-Pokal,Final,Sat,Away,L,0,2,RB Leipzig,,,42.0,74322.0,Sebastian Rode,3-4-3,Daniel Siebert,Match Report,,6.0,2.0,,,0.0,0.0,Eintracht Frankfurt
2022-07-30,18:00,DFB-Pokal,Round of 64,Sat,Away,W,1,0,Carl Zeiss Jena,,,71.0,6100.0,Koen Casteels,3-4-3,Florian Heft,Match Report,,21.0,4.0,,,0.0,0.0,Wolfsburg
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Home,D,2,2,Werder Bremen,1.0,0.8,61.0,28015.0,Maximilian Arnold,4-2-3-1,Sascha Stegemann,Match Report,,11.0,3.0,20.6,0.0,0.0,0.0,Wolfsburg
2022-08-14,17:30,Bundesliga,Matchweek 2,Sun,Away,L,0,2,Bayern Munich,0.5,2.0,32.0,75000.0,Maximilian Arnold,4-5-1,Harm Osmers,Match Report,,8.0,2.0,18.2,1.0,0.0,0.0,Wolfsburg
2022-08-20,15:30,Bundesliga,Matchweek 3,Sat,Home,D,0,0,Schalke 04,1.3,1.1,71.0,26959.0,Maximilian Arnold,4-2-3-1,Felix Zwayer,Match Report,,17.0,6.0,16.4,0.0,0.0,0.0,Wolfsburg
2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Away,L,0,2,RB Leipzig,0.5,3.5,57.0,41243.0,Maximilian Arnold,4-2-3-1,Bastian Dankert,Match Report,,9.0,4.0,18.5,0.0,0.0,0.0,Wolfsburg
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Home,L,2,4,Köln,1.0,2.7,51.0,25654.0,Maximilian Arnold,3-4-1-2,Matthias Jöllenbeck,Match Report,,9.0,3.0,15.4,0.0,0.0,0.0,Wolfsburg
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Away,W,1,0,Eint Frankfurt,1.0,0.7,38.0,49000.0,Maximilian Arnold,4-3-3,Tobias Reichel,Match Report,,7.0,3.0,12.3,0.0,0.0,0.0,Wolfsburg
2022-09-18,15:30,Bundesliga,Matchweek 7,Sun,Away,L,0,2,Union Berlin,0.3,1.4,52.0,22012.0,Maximilian Arnold,4-2-2-2,Robert Schröder,Match Report,,5.0,0.0,21.6,0.0,0.0,0.0,Wolfsburg
2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3,2,Stuttgart,2.0,1.5,57.0,24125.0,Maximilian Arnold,4-1-4-1,Felix Zwayer,Match Report,,19.0,6.0,17.1,0.0,0.0,0.0,Wolfsburg
2022-10-08,15:30,Bundesliga,Matchweek 9,Sat,Away,D,1,1,Augsburg,1.8,2.0,51.0,26220.0,Maximilian Arnold,4-5-1,Daniel Siebert,Match Report,,11.0,7.0,15.4,0.0,0.0,0.0,Wolfsburg
2022-10-15,15:30,Bundesliga,Matchweek 10,Sat,Home,D,2,2,M'Gladbach,1.8,0.8,54.0,26701.0,Maximilian Arnold,4-5-1,Benjamin Cortus,Match Report,,16.0,4.0,17.2,1.0,0.0,0.0,Wolfsburg
2022-10-18,20:45,DFB-Pokal,Round of 32,Tue,Away,W,2,1,Braunschweig,,,61.0,22000.0,Maximilian Arnold,4-3-3,Daniel Schlager,Match Report,,19.0,4.0,,,0.0,0.0,Wolfsburg
2022-10-22,15:30,Bundesliga,Matchweek 11,Sat,Away,D,2,2,Leverkusen,1.2,2.2,43.0,26294.0,Maximilian Arnold,4-1-4-1,Felix Brych,Match Report,,8.0,0.0,20.5,0.0,1.0,1.0,Wolfsburg
2022-10-29,15:30,Bundesliga,Matchweek 12,Sat,Home,W,4,0,Bochum,2.0,0.5,52.0,24037.0,Maximilian Arnold,4-1-4-1,Robert Hartmann,Match Report,,20.0,6.0,20.1,1.0,0.0,0.0,Wolfsburg
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Away,W,3,0,Mainz 05,0.6,1.0,44.0,26750.0,Maximilian Arnold,4-5-1,Daniel Siebert,Match Report,,10.0,3.0,18.4,1.0,0.0,0.0,Wolfsburg
2022-11-08,18:30,Bundesliga,Matchweek 14,Tue,Home,W,2,0,Dortmund,2.4,1.6,37.0,28675.0,Maximilian Arnold,4-5-1,Christian Dingert,Match Report,,17.0,7.0,12.1,0.0,0.0,0.0,Wolfsburg
2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Away,W,2,1,Hoffenheim,0.7,1.4,40.0,18014.0,Maximilian Arnold,4-5-1,Daniel Schlager,Match Report,,6.0,3.0,14.7,0.0,0.0,0.0,Wolfsburg
2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Home,W,6,0,Freiburg,2.7,0.7,53.0,25849.0,Maximilian Arnold,4-3-3,Felix Zwayer,Match Report,,11.0,9.0,17.2,0.0,1.0,1.0,Wolfsburg
2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Away,W,5,0,Hertha BSC,3.1,0.4,58.0,29483.0,Maximilian Arnold,4-3-3,Tobias Reichel,Match Report,,16.0,6.0,16.2,1.0,1.0,1.0,Wolfsburg
2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Away,L,1,2,Werder Bremen,0.7,2.2,57.0,41000.0,Maximilian Arnold,4-5-1,Daniel Siebert,Match Report,,9.0,3.0,17.9,1.0,0.0,0.0,Wolfsburg
2023-01-31,20:45,DFB-Pokal,Round of 16,Tue,Away,L,1,2,Union Berlin,,,54.0,22012.0,Maximilian Arnold,3-1-4-2,Sascha Stegemann,Match Report,,7.0,3.0,,,0.0,0.0,Wolfsburg
2023-02-05,17:30,Bundesliga,Matchweek 19,Sun,Home,L,2,4,Bayern Munich,2.2,0.5,52.0,30000.0,Maximilian Arnold,3-5-2,Harm Osmers,Match Report,,22.0,5.0,16.4,1.0,0.0,0.0,Wolfsburg
2023-02-10,20:30,Bundesliga,Matchweek 20,Fri,Away,D,0,0,Schalke 04,1.3,1.3,47.0,60836.0,Maximilian Arnold,4-2-3-1,Benjamin Brand,Match Report,,7.0,2.0,15.5,0.0,0.0,1.0,Wolfsburg
2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Home,L,0,3,RB Leipzig,0.2,3.0,43.0,24831.0,Maximilian Arnold,4-2-3-1,Deniz Aytekin,Match Report,,7.0,2.0,23.1,1.0,0.0,0.0,Wolfsburg
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Away,W,2,0,Köln,1.0,1.2,43.0,49300.0,Maximilian Arnold,4-3-3,Frank Willenborg,Match Report,,5.0,3.0,25.0,0.0,1.0,1.0,Wolfsburg
2023-03-05,17:30,Bundesliga,Matchweek 23,Sun,Home,D,2,2,Eint Frankfurt,1.9,0.6,52.0,27853.0,Maximilian Arnold,4-3-3,Daniel Schlager,Match Report,,12.0,7.0,16.5,0.0,0.0,0.0,Wolfsburg
2023-03-12,19:30,Bundesliga,Matchweek 24,Sun,Home,D,1,1,Union Berlin,1.7,1.3,58.0,23554.0,Koen Casteels,4-3-3,Robert Schröder,Match Report,,15.0,6.0,19.9,2.0,0.0,0.0,Wolfsburg
2023-03-18,15:30,Bundesliga,Matchweek 25,Sat,Away,W,1,0,Stuttgart,0.6,0.5,43.0,44900.0,Maximilian Arnold,4-2-3-1,Felix Brych,Match Report,,9.0,3.0,20.4,0.0,0.0,0.0,Wolfsburg
2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Home,D,2,2,Augsburg,3.5,0.6,68.0,22107.0,Maximilian Arnold,4-3-3,Martin Petersen,Match Report,,22.0,5.0,17.2,0.0,0.0,1.0,Wolfsburg
2023-04-09,15:30,Bundesliga,Matchweek 27,Sun,Away,L,0,2,M'Gladbach,1.5,1.6,56.0,51127.0,Maximilian Arnold,4-3-3,Timo Gerach,Match Report,,10.0,2.0,17.4,0.0,0.0,0.0,Wolfsburg
2023-04-16,19:30,Bundesliga,Matchweek 28,Sun,Home,D,0,0,Leverkusen,0.9,1.2,43.0,20137.0,Koen Casteels,5-3-2,Sascha Stegemann,Match Report,,11.0,3.0,19.4,0.0,0.0,0.0,Wolfsburg
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,W,5,1,Bochum,3.6,2.6,45.0,24834.0,Maximilian Arnold,4-3-3,Felix Brych,Match Report,,14.0,7.0,15.0,0.0,0.0,1.0,Wolfsburg
2023-04-30,17:30,Bundesliga,Matchweek 30,Sun,Home,W,3,0,Mainz 05,1.9,1.7,51.0,23817.0,Maximilian Arnold,3-4-3,Daniel Siebert,Match Report,,10.0,4.0,12.1,0.0,0.0,0.0,Wolfsburg
2023-05-07,17:30,Bundesliga,Matchweek 31,Sun,Away,L,0,6,Dortmund,1.2,4.2,43.0,81365.0,Maximilian Arnold,3-1-4-2,Marco Fritz,Match Report,,10.0,3.0,18.5,0.0,0.0,0.0,Wolfsburg
2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Home,W,2,1,Hoffenheim,1.1,1.0,46.0,22617.0,Maximilian Arnold,3-1-4-2,Tobias Stieler,Match Report,,9.0,3.0,20.5,0.0,0.0,0.0,Wolfsburg
2023-05-19,20:30,Bundesliga,Matchweek 33,Fri,Away,L,0,2,Freiburg,0.7,1.3,57.0,33300.0,Maximilian Arnold,3-1-4-2,Bastian Dankert,Match Report,,9.0,2.0,18.0,0.0,0.0,0.0,Wolfsburg
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,L,1,2,Hertha BSC,3.4,2.1,64.0,26775.0,Josuha Guilavogui,3-5-2,Benjamin Cortus,Match Report,,20.0,7.0,12.6,0.0,0.0,0.0,Wolfsburg
2022-07-31,18:01,DFB-Pokal,Round of 64,Sun,Away,W,3,0,Erzgebirge Aue,,,55.0,8446.0,Silvan Widmer,5-3-2,Deniz Aytekin,Match Report,,26.0,9.0,,,1.0,1.0,Mainz 05
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Away,W,2,1,Bochum,1.4,0.9,41.0,24110.0,Robin Zentner,5-4-1,Felix Zwayer,Match Report,,13.0,6.0,17.5,1.0,0.0,0.0,Mainz 05
2022-08-14,15:30,Bundesliga,Matchweek 2,Sun,Home,D,0,0,Union Berlin,0.7,0.4,49.0,25009.0,Silvan Widmer,3-5-2,Daniel Schlager,Match Report,,11.0,5.0,16.9,0.0,0.0,0.0,Mainz 05
2022-08-20,15:30,Bundesliga,Matchweek 3,Sat,Away,W,2,1,Augsburg,2.1,0.5,50.0,23755.0,Silvan Widmer,3-5-2,Sascha Stegemann,Match Report,,12.0,5.0,19.6,1.0,0.0,1.0,Mainz 05
2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,3,Leverkusen,1.4,1.9,61.0,28500.0,Silvan Widmer,3-4-3,Christian Dingert,Match Report,,18.0,3.0,18.4,1.0,0.0,0.0,Mainz 05
2022-09-04,17:30,Bundesliga,Matchweek 5,Sun,Away,W,1,0,M'Gladbach,0.6,1.2,47.0,51210.0,Silvan Widmer,3-4-3,Deniz Aytekin,Match Report,,11.0,4.0,17.6,2.0,0.0,0.0,Mainz 05
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1,4,Hoffenheim,0.7,4.2,36.0,20114.0,Silvan Widmer,3-4-3,Daniel Schlager,Match Report,,9.0,2.0,18.3,0.0,0.0,0.0,Mainz 05
2022-09-16,20:30,Bundesliga,Matchweek 7,Fri,Home,D,1,1,Hertha BSC,0.7,0.4,57.0,25300.0,Silvan Widmer,3-4-3,Frank Willenborg,Match Report,,11.0,2.0,16.6,0.0,0.0,0.0,Mainz 05
2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,1.6,2.0,47.0,34700.0,Silvan Widmer,3-4-3,Sven Jablonski,Match Report,,15.0,6.0,19.1,1.0,0.0,0.0,Mainz 05
2022-10-08,15:30,Bundesliga,Matchweek 9,Sat,Home,D,1,1,RB Leipzig,0.6,1.0,37.0,26100.0,Silvan Widmer,3-5-2,Felix Brych,Match Report,,9.0,3.0,19.7,0.0,0.0,0.0,Mainz 05
2022-10-15,15:30,Bundesliga,Matchweek 10,Sat,Away,W,2,0,Werder Bremen,1.1,1.3,33.0,41000.0,Robin Zentner,3-4-3,Robert Hartmann,Match Report,,11.0,5.0,16.5,0.0,0.0,0.0,Mainz 05
2022-10-18,18:00,DFB-Pokal,Round of 32,Tue,Away,W,3,0,Lübeck,,,57.0,9974.0,Karim Onisiwo,3-4-3,Robin Braun,Match Report,,25.0,10.0,,,0.0,0.0,Mainz 05
2022-10-21,20:30,Bundesliga,Matchweek 11,Fri,Home,W,5,0,Köln,1.9,0.7,55.0,31610.0,Robin Zentner,3-5-2,Matthias Jöllenbeck,Match Report,,15.0,6.0,18.2,1.0,1.0,1.0,Mainz 05
2022-10-29,15:30,Bundesliga,Matchweek 12,Sat,Away,L,2,6,Bayern Munich,2.2,3.1,31.0,75000.0,Silvan Widmer,5-3-2,Felix Zwayer,Match Report,,13.0,4.0,13.4,0.0,0.0,1.0,Mainz 05
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Home,L,0,3,Wolfsburg,1.0,0.6,56.0,26750.0,Silvan Widmer,3-4-3,Daniel Siebert,Match Report,,15.0,3.0,19.3,0.0,0.0,0.0,Mainz 05
2022-11-09,20:30,Bundesliga,Matchweek 14,Wed,Away,L,0,1,Schalke 04,0.8,1.5,55.0,58256.0,Robin Zentner,3-5-2,Tobias Reichel,Match Report,,11.0,1.0,13.5,1.0,0.0,0.0,Mainz 05
2022-11-13,15:30,Bundesliga,Matchweek 15,Sun,Home,D,1,1,Eint Frankfurt,1.5,1.8,40.0,33305.0,Silvan Widmer,3-4-3,Robert Schröder,Match Report,,18.0,6.0,16.0,0.0,0.0,0.0,Mainz 05
2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Away,D,1,1,Stuttgart,1.4,1.6,45.0,45903.0,Silvan Widmer,3-4-3,Felix Brych,Match Report,,12.0,1.0,20.3,1.0,1.0,1.0,Mainz 05
2023-01-25,18:30,Bundesliga,Matchweek 17,Wed,Home,L,1,2,Dortmund,1.2,1.5,38.0,31500.0,Silvan Widmer,3-5-2,Sascha Stegemann,Match Report,,12.0,4.0,14.8,0.0,0.0,0.0,Mainz 05
2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Home,W,5,2,Bochum,2.1,1.5,42.0,23300.0,Silvan Widmer,3-4-3,Patrick Ittrich,Match Report,,14.0,7.0,17.3,0.0,0.0,0.0,Mainz 05
2023-02-01,20:45,DFB-Pokal,Round of 16,Wed,Home,L,0,4,Bayern Munich,,,32.0,33305.0,Silvan Widmer,3-4-3,Deniz Aytekin,Match Report,,11.0,1.0,,,0.0,0.0,Mainz 05
2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Away,L,1,2,Union Berlin,1.3,1.1,49.0,22012.0,Dominik Kohr,3-4-3,Florian Badstübner,Match Report,,11.0,4.0,20.7,0.0,1.0,1.0,Mainz 05
2023-02-11,15:30,Bundesliga,Matchweek 20,Sat,Home,W,3,1,Augsburg,2.4,1.5,50.0,22200.0,Karim Onisiwo,3-4-3,Sven Jablonski,Match Report,,15.0,6.0,14.6,0.0,0.0,0.0,Mainz 05
2023-02-19,19:30,Bundesliga,Matchweek 21,Sun,Away,W,3,2,Leverkusen,1.6,2.2,34.0,27002.0,Karim Onisiwo,3-4-1-2,Robert Schröder,Match Report,,11.0,6.0,14.4,0.0,1.0,1.0,Mainz 05
2023-02-24,20:30,Bundesliga,Matchweek 22,Fri,Home,W,4,0,M'Gladbach,1.8,1.2,36.0,32500.0,Robin Zentner,3-4-3,Robert Hartmann,Match Report,,14.0,8.0,16.1,0.0,0.0,0.0,Mainz 05
2023-03-04,15:30,Bundesliga,Matchweek 23,Sat,Home,W,1,0,Hoffenheim,1.1,0.8,47.0,28100.0,Robin Zentner,3-4-3,Sascha Stegemann,Match Report,,16.0,6.0,16.6,0.0,0.0,0.0,Mainz 05
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Hertha BSC,0.5,1.5,59.0,41689.0,Robin Zentner,3-4-3,Benjamin Cortus,Match Report,,6.0,3.0,16.3,0.0,0.0,0.0,Mainz 05
2023-03-19,19:30,Bundesliga,Matchweek 25,Sun,Home,D,1,1,Freiburg,1.0,1.7,47.0,26800.0,Robin Zentner,3-4-3,Bastian Dankert,Match Report,,10.0,5.0,16.4,1.0,0.0,0.0,Mainz 05
2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Away,W,3,0,RB Leipzig,2.9,0.8,31.0,45597.0,Silvan Widmer,3-4-3,Christian Dingert,Match Report,,19.0,7.0,16.2,2.0,0.0,0.0,Mainz 05
2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Home,D,2,2,Werder Bremen,1.9,0.9,51.0,33305.0,Silvan Widmer,3-4-3,Benjamin Brand,Match Report,,16.0,10.0,16.7,0.0,0.0,0.0,Mainz 05
2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Köln,0.8,1.0,47.0,50000.0,Silvan Widmer,3-4-3,Benjamin Cortus,Match Report,,5.0,1.0,23.1,0.0,0.0,0.0,Mainz 05
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,W,3,1,Bayern Munich,1.6,1.9,26.0,33305.0,Silvan Widmer,3-4-3,Felix Zwayer,Match Report,,12.0,4.0,17.3,0.0,0.0,0.0,Mainz 05
2023-04-30,17:30,Bundesliga,Matchweek 30,Sun,Away,L,0,3,Wolfsburg,1.7,1.9,49.0,23817.0,Silvan Widmer,3-4-3,Daniel Siebert,Match Report,,10.0,2.0,13.4,0.0,0.0,0.0,Mainz 05
2023-05-05,20:30,Bundesliga,Matchweek 31,Fri,Home,L,2,3,Schalke 04,1.3,2.9,57.0,33305.0,Robin Zentner,3-4-3,Matthias Jöllenbeck,Match Report,,10.0,4.0,13.2,1.0,0.0,0.0,Mainz 05
2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,3,Eint Frankfurt,1.0,2.2,45.0,50000.0,Robin Zentner,3-4-3,Felix Brych,Match Report,,9.0,3.0,18.2,1.0,0.0,0.0,Mainz 05
2023-05-21,15:30,Bundesliga,Matchweek 33,Sun,Home,L,1,4,Stuttgart,1.3,1.8,47.0,33305.0,Karim Onisiwo,3-4-3,Sven Jablonski,Match Report,,10.0,6.0,17.9,2.0,0.0,0.0,Mainz 05
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,D,2,2,Dortmund,1.8,4.0,27.0,81365.0,Karim Onisiwo,3-4-3,Marco Fritz,Match Report,,10.0,4.0,21.6,1.0,0.0,0.0,Mainz 05
2022-07-31,15:31,DFB-Pokal,Round of 64,Sun,Away,W,9,1,SV Oberachern,,,71.0,13558.0,Lars Stindl,4-2-3-1,Nicolas Winter,Match Report,,25.0,12.0,,,0.0,0.0,Monchengladbach
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,1,Hoffenheim,1.9,0.1,61.0,49659.0,Yann Sommer,4-2-3-1,Daniel Siebert,Match Report,,18.0,7.0,16.2,1.0,0.0,0.0,Monchengladbach
2022-08-13,18:30,Bundesliga,Matchweek 2,Sat,Away,D,2,2,Schalke 04,1.3,1.4,67.0,62271.0,Yann Sommer,4-2-3-1,Sven Jablonski,Match Report,,14.0,8.0,16.7,0.0,0.0,0.0,Monchengladbach
2022-08-19,20:30,Bundesliga,Matchweek 3,Fri,Home,W,1,0,Hertha BSC,2.7,1.0,64.0,48411.0,Yann Sommer,4-2-3-1,Matthias Jöllenbeck,Match Report,,9.0,4.0,21.0,0.0,1.0,2.0,Monchengladbach
2022-08-27,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,Bayern Munich,0.5,2.8,31.0,75000.0,Yann Sommer,4-2-3-1,Daniel Schlager,Match Report,,5.0,3.0,17.9,0.0,0.0,0.0,Monchengladbach
