date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sota,saves,cs,pka,pksv,totdist,live,dead,att,touches,succ,team
2023-09-19,18:45,Champions Lg,Group stage,Tue,Away,W,3.0,1.0,ch Young Boys,2.6,0.5,46.0,31500.0,Kevin Kampl,4-4-2,Enea Jorgji,Match Report,,21.0,8.0,15.1,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5881.0,393.0,52.0,448.0,563.0,11.0,RB Leipzig
2023-08-12,13:00,DFB-Pokal,Round of 64,Sat,Away,W,4.0,0.0,TSG Balingen,,,69.0,13400.0,Wataru Endo,4-3-3,Robert Kampka,Match Report,,24.0,10.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,Stuttgart
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,5.0,0.0,Bochum,3.0,0.8,60.0,53000.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Match Report,,21.0,9.0,16.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8451.0,553.0,46.0,601.0,702.0,10.0,Stuttgart
2023-08-25,20:30,Bundesliga,Matchweek 2,Fri,Away,L,1.0,5.0,RB Leipzig,1.1,1.8,46.0,46084.0,Waldemar Anton,4-2-3-1,Frank Willenborg,Match Report,,9.0,3.0,17.1,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,7012.0,428.0,37.0,466.0,571.0,3.0,Stuttgart
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,0.0,Freiburg,1.7,1.0,48.0,54300.0,Waldemar Anton,4-2-3-1,Felix Brych,Match Report,,13.0,6.0,19.1,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,7501.0,502.0,32.0,535.0,635.0,16.0,Stuttgart
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3.0,1.0,Mainz 05,1.6,0.9,60.0,30500.0,Waldemar Anton,4-2-3-1,Harm Osmers,Match Report,,15.0,6.0,21.5,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,8475.0,577.0,50.0,628.0,741.0,8.0,Stuttgart
2023-08-14,18:00,DFB-Pokal,Round of 64,Mon,Away,W,4.0,1.0,Lübeck,,,69.0,13000.0,Oliver Baumann,3-5-2,Florian Lechner,Match Report,,27.0,15.0,,,1.0,1.0,2.0,2.0,0.0,1.0,0.0,,,,,,,Hoffenheim
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,L,1.0,2.0,Freiburg,1.4,2.6,50.0,25890.0,Oliver Baumann,3-5-2,Sven Jablonski,Match Report,,22.0,4.0,17.6,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,7744.0,457.0,42.0,502.0,623.0,4.0,Hoffenheim
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,3.0,2.0,Heidenheim,3.0,2.4,62.0,15000.0,Oliver Baumann,3-4-3,Robert Hartmann,Match Report,,15.0,5.0,18.8,2.0,1.0,1.0,8.0,5.0,0.0,0.0,1.0,8432.0,491.0,56.0,548.0,669.0,9.0,Hoffenheim
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,3.0,1.0,Wolfsburg,2.0,1.2,40.0,17500.0,Oliver Baumann,3-5-2,Felix Zwayer,Match Report,,10.0,5.0,16.9,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,5423.0,329.0,46.0,379.0,468.0,3.0,Hoffenheim
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3.0,1.0,Köln,1.0,1.0,44.0,49300.0,Oliver Baumann,3-5-2,Daniel Siebert,Match Report,,13.0,5.0,20.6,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,5007.0,323.0,59.0,383.0,535.0,7.0,Hoffenheim
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,6.0,0.0,TuS Makkabi Berlin,,,66.0,4800.0,Koen Casteels,4-2-3-1,Riem Hussein,Match Report,,18.0,13.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,Wolfsburg
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,2.0,0.0,Heidenheim,2.2,1.2,48.0,22620.0,Koen Casteels,4-3-3,Florian Badstübner,Match Report,,18.0,8.0,15.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7381.0,467.0,36.0,505.0,649.0,7.0,Wolfsburg
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2.0,1.0,Köln,1.7,0.9,50.0,49500.0,Koen Casteels,4-3-3,Matthias Jöllenbeck,Match Report,,9.0,6.0,13.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8082.0,453.0,60.0,513.0,630.0,13.0,Wolfsburg
