date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sota,saves,cs,pka,pksv,totdist,live,dead,att,touches,succ,team
2023-05-05,20:30,Bundesliga,Matchweek 31,Fri,Away,W,3,2,Mainz 05,2.9,1.3,43.0,33305.0,Simon Terodde,4-2-3-1,Matthias Jöllenbeck,Match Report,,15.0,9.0,18.9,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,4344.0,309.0,48.0,358.0,501.0,10.0,Schalke 04
2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,6,Bayern Munich,0.4,5.3,38.0,75000.0,Danny Latza,4-2-3-1,Robert Schröder,Match Report,,8.0,0.0,20.9,0.0,0.0,0.0,13.0,7.0,0.0,1.0,0.0,4952.0,303.0,49.0,352.0,450.0,8.0,Schalke 04
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Home,D,2,2,Eint Frankfurt,1.0,1.6,50.0,61575.0,Simon Terodde,4-2-3-1,Daniel Schlager,Match Report,,11.0,4.0,15.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5766.0,342.0,66.0,411.0,519.0,15.0,Schalke 04
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,L,2,4,RB Leipzig,1.2,2.6,49.0,47069.0,Danny Latza,4-2-3-1,Harm Osmers,Match Report,,15.0,4.0,12.9,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,6501.0,389.0,52.0,441.0,536.0,7.0,Schalke 04
2022-07-31,18:01,DFB-Pokal,Round of 64,Sun,Away,D,4 (5),4 (6),Braunschweig,,,61.0,14126.0,Marvin Plattenhardt,4-3-3,Tobias Stieler,Match Report,Braunschweig won on penalty kicks following extra time,27.0,12.0,,,0.0,0.0,7.0,4.0,0.0,1.0,0.0,,,,,,,Hertha BSC
2022-08-06,15:30,Bundesliga,Matchweek 1,Sat,Away,L,1,3,Union Berlin,0.3,1.0,51.0,22012.0,Marvin Plattenhardt,4-3-3,Marco Fritz,Match Report,,7.0,3.0,20.3,1.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,6006.0,369.0,63.0,433.0,540.0,16.0,Hertha BSC
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Eint Frankfurt,1.7,1.6,39.0,45000.0,Lucas Tousart,4-3-3,Frank Willenborg,Match Report,,12.0,5.0,16.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4479.0,287.0,52.0,340.0,464.0,12.0,Hertha BSC
2022-08-19,20:30,Bundesliga,Matchweek 3,Fri,Away,L,0,1,M'Gladbach,1.0,2.7,36.0,48411.0,Lucas Tousart,4-3-3,Matthias Jöllenbeck,Match Report,,17.0,4.0,18.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,1.0,4540.0,317.0,34.0,356.0,481.0,9.0,Hertha BSC
2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,1,Dortmund,0.5,2.7,38.0,62142.0,Marvin Plattenhardt,4-3-3,Tobias Stieler,Match Report,,13.0,3.0,22.2,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,5381.0,354.0,40.0,395.0,514.0,16.0,Hertha BSC
2022-09-04,15:30,Bundesliga,Matchweek 5,Sun,Away,W,2,0,Augsburg,2.1,0.4,52.0,25789.0,Marvin Plattenhardt,4-3-3,Harm Osmers,Match Report,,15.0,6.0,16.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6400.0,391.0,47.0,441.0,575.0,3.0,Hertha BSC
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Leverkusen,1.9,1.3,42.0,40643.0,Marvin Plattenhardt,4-3-3,Benjamin Brand,Match Report,,17.0,6.0,17.8,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,5383.0,319.0,42.0,362.0,487.0,6.0,Hertha BSC
2022-09-16,20:30,Bundesliga,Matchweek 7,Fri,Away,D,1,1,Mainz 05,0.4,0.7,43.0,25300.0,Marvin Plattenhardt,4-3-3,Frank Willenborg,Match Report,,4.0,2.0,19.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4693.0,351.0,47.0,400.0,533.0,4.0,Hertha BSC
2022-10-02,15:30,Bundesliga,Matchweek 8,Sun,Home,D,1,1,Hoffenheim,0.9,1.4,43.0,41653.0,Marvin Plattenhardt,4-3-3,Christian Dingert,Match Report,,14.0,5.0,19.6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,5198.0,343.0,53.0,397.0,523.0,11.0,Hertha BSC
2022-10-09,17:30,Bundesliga,Matchweek 9,Sun,Home,D,2,2,Freiburg,1.6,1.0,42.0,40481.0,Marvin Plattenhardt,4-3-3,Robert Schröder,Match Report,,12.0,2.0,22.8,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,5018.0,331.0,46.0,378.0,501.0,12.0,Hertha BSC
2022-10-15,18:30,Bundesliga,Matchweek 10,Sat,Away,L,2,3,RB Leipzig,2.3,2.9,40.0,47069.0,Marvin Plattenhardt,4-3-3,Harm Osmers,Match Report,,14.0,4.0,16.6,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,5237.0,309.0,53.0,363.0,485.0,10.0,Hertha BSC
2022-10-23,17:30,Bundesliga,Matchweek 11,Sun,Home,W,2,1,Schalke 04,0.8,0.6,54.0,60165.0,Marvin Plattenhardt,4-2-2-2,Martin Petersen,Match Report,,10.0,4.0,19.3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6258.0,398.0,58.0,457.0,572.0,10.0,Hertha BSC
2022-10-28,20:30,Bundesliga,Matchweek 12,Fri,Away,L,0,1,Werder Bremen,0.4,1.3,48.0,42100.0,Marvin Plattenhardt,4-4-2,Tobias Reichel,Match Report,,9.0,1.0,22.6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,5303.0,356.0,54.0,411.0,533.0,8.0,Hertha BSC
2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Home,L,2,3,Bayern Munich,1.2,1.9,28.0,74667.0,Marvin Plattenhardt,4-4-2,Bastian Dankert,Match Report,,6.0,5.0,19.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3032.0,206.0,38.0,250.0,386.0,8.0,Hertha BSC
2022-11-08,20:30,Bundesliga,Matchweek 14,Tue,Away,L,1,2,Stuttgart,0.7,2.0,40.0,44500.0,Marvin Plattenhardt,4-2-2-2,Frank Willenborg,Match Report,,11.0,2.0,15.2,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,5582.0,359.0,50.0,409.0,535.0,3.0,Hertha BSC
2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Home,W,2,0,Köln,1.8,1.8,48.0,60827.0,Marvin Plattenhardt,4-2-2-2,Christian Dingert,Match Report,,16.0,8.0,17.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,5658.0,350.0,62.0,414.0,557.0,9.0,Hertha BSC
2023-01-21,15:30,Bundesliga,Matchweek 16,Sat,Away,L,1,3,Bochum,0.9,1.6,51.0,26000.0,Lucas Tousart,4-2-3-1,Martin Petersen,Match Report,,11.0,2.0,15.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4744.0,356.0,67.0,423.0,543.0,10.0,Hertha BSC
2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Home,L,0,5,Wolfsburg,0.4,3.1,42.0,29483.0,Lucas Tousart,4-2-3-1,Tobias Reichel,Match Report,,8.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,4233.0,271.0,56.0,327.0,431.0,4.0,Hertha BSC
2023-01-28,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,2,Union Berlin,0.5,1.0,52.0,74667.0,Marvin Plattenhardt,4-3-3,Felix Brych,Match Report,,10.0,3.0,19.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5434.0,397.0,51.0,451.0,579.0,6.0,Hertha BSC
2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Away,L,0,3,Eint Frankfurt,0.9,2.2,38.0,49500.0,Marvin Plattenhardt,4-1-4-1,Robert Hartmann,Match Report,,15.0,2.0,18.2,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,5836.0,388.0,41.0,431.0,577.0,8.0,Hertha BSC
2023-02-12,15:30,Bundesliga,Matchweek 20,Sun,Home,W,4,1,M'Gladbach,3.0,0.5,31.0,40973.0,Marvin Plattenhardt,3-5-2,Christian Dingert,Match Report,,17.0,4.0,15.3,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3824.0,267.0,45.0,314.0,453.0,9.0,Hertha BSC
2023-02-19,17:30,Bundesliga,Matchweek 21,Sun,Away,L,1,4,Dortmund,1.1,2.5,42.0,81365.0,Marvin Plattenhardt,3-1-4-2,Harm Osmers,Match Report,,16.0,9.0,20.1,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4922.0,370.0,43.0,415.0,538.0,12.0,Hertha BSC
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,W,2,0,Augsburg,0.6,0.5,44.0,40522.0,Marvin Plattenhardt,3-5-2,Matthias Jöllenbeck,Match Report,,11.0,3.0,21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4074.0,305.0,53.0,363.0,494.0,7.0,Hertha BSC
2023-03-05,15:30,Bundesliga,Matchweek 23,Sun,Away,L,1,4,Leverkusen,1.1,1.6,39.0,30210.0,Marvin Plattenhardt,3-5-2,Patrick Ittrich,Match Report,,6.0,1.0,26.7,1.0,1.0,1.0,9.0,5.0,0.0,0.0,0.0,5557.0,397.0,40.0,438.0,541.0,5.0,Hertha BSC
2023-03-11,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Mainz 05,1.5,0.5,41.0,41689.0,Marvin Plattenhardt,3-1-4-2,Benjamin Cortus,Match Report,,10.0,3.0,19.6,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3337.0,266.0,64.0,332.0,451.0,4.0,Hertha BSC
2023-03-18,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1,3,Hoffenheim,1.0,2.6,52.0,25027.0,Marvin Plattenhardt,3-5-2,Frank Willenborg,Match Report,,11.0,5.0,15.2,0.0,0.0,0.0,7.0,4.0,0.0,2.0,0.0,5327.0,336.0,58.0,395.0,525.0,9.0,Hertha BSC
2023-04-01,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Freiburg,1.8,1.2,42.0,34700.0,Marvin Plattenhardt,3-5-2,Sven Jablonski,Match Report,,10.0,2.0,13.8,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,5727.0,374.0,40.0,416.0,521.0,5.0,Hertha BSC
2023-04-08,18:30,Bundesliga,Matchweek 27,Sat,Home,L,0,1,RB Leipzig,0.5,2.0,34.0,50679.0,Marvin Plattenhardt,3-5-2,Deniz Aytekin,Match Report,,11.0,1.0,21.5,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3760.0,266.0,59.0,325.0,460.0,10.0,Hertha BSC
2023-04-14,20:30,Bundesliga,Matchweek 28,Fri,Away,L,2,5,Schalke 04,1.6,2.2,49.0,61981.0,Marvin Plattenhardt,3-5-2,Felix Brych,Match Report,,11.0,5.0,18.6,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3535.0,252.0,66.0,322.0,445.0,8.0,Hertha BSC
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Home,L,2,4,Werder Bremen,1.6,2.0,54.0,74667.0,Marvin Plattenhardt,4-1-4-1,Robert Schröder,Match Report,,13.0,4.0,22.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6644.0,424.0,60.0,485.0,597.0,23.0,Hertha BSC
2023-04-30,15:30,Bundesliga,Matchweek 30,Sun,Away,L,0,2,Bayern Munich,0.1,2.7,20.0,75000.0,Marvin Plattenhardt,4-4-2,Patrick Ittrich,Match Report,,2.0,1.0,13.3,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,2534.0,163.0,41.0,206.0,340.0,11.0,Hertha BSC
2023-05-06,15:30,Bundesliga,Matchweek 31,Sat,Home,W,2,1,Stuttgart,1.2,1.5,30.0,63443.0,Marvin Plattenhardt,4-4-2,Deniz Aytekin,Match Report,,7.0,3.0,15.3,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3387.0,233.0,53.0,287.0,402.0,12.0,Hertha BSC
2023-05-12,20:30,Bundesliga,Matchweek 32,Fri,Away,L,2,5,Köln,1.1,4.3,37.0,50000.0,Marvin Plattenhardt,4-4-2,Sven Jablonski,Match Report,,9.0,3.0,15.4,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,4408.0,290.0,48.0,338.0,461.0,14.0,Hertha BSC
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Bochum,1.2,1.1,50.0,70692.0,Kevin-Prince Boateng,4-3-3,Felix Brych,Match Report,,14.0,3.0,18.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4380.0,320.0,55.0,376.0,503.0,16.0,Hertha BSC
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,W,2,1,Wolfsburg,2.1,3.4,36.0,26775.0,Marvin Plattenhardt,4-2-3-1,Benjamin Cortus,Match Report,,8.0,5.0,14.8,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,5359.0,307.0,41.0,350.0,476.0,13.0,Hertha BSC
2021-08-13,20:30,Bundesliga,Matchweek 1,Fri,Away,D,1,1,M'Gladbach,2.5,2.3,65.0,22925.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,21.0,9.0,12.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,9667.0,619.0,55.0,678.0,805.0,22.0,Bayern Munich
2021-08-17,20:30,DFL-Supercup,DFL-Supercup,Tue,Away,W,3,1,Dortmund,,,51.0,,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,17.0,6.0,,,0.0,0.0,5.0,4.0,,0.0,0.0,,,,,,,Bayern Munich
2021-08-22,17:30,Bundesliga,Matchweek 2,Sun,Home,W,3,2,Köln,2.6,1.1,57.0,20000.0,Manuel Neuer,4-2-3-1,Martin Petersen,Match Report,,18.0,6.0,18.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9124.0,547.0,45.0,592.0,719.0,22.0,Bayern Munich
2021-08-25,20:15,DFB-Pokal,Round of 64,Wed,Away,W,12,0,Bremer SV,,,68.0,10093.0,Thomas Müller,4-2-3-1,Nicolas Winter,Match Report,,37.0,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,Bayern Munich
2021-08-28,18:30,Bundesliga,Matchweek 3,Sat,Home,W,5,0,Hertha BSC,2.8,0.4,63.0,25000.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,16.0,6.0,12.4,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,9835.0,621.0,48.0,669.0,770.0,14.0,Bayern Munich
2021-09-11,18:30,Bundesliga,Matchweek 4,Sat,Away,W,4,1,RB Leipzig,3.9,0.5,48.0,34000.0,Manuel Neuer,4-2-3-1,Deniz Aytekin,Match Report,,17.0,5.0,18.1,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,6049.0,404.0,52.0,457.0,573.0,10.0,Bayern Munich
2021-09-14,21:00,Champions Lg,Group stage,Tue,Away,W,3,0,es Barcelona,2.7,0.2,51.0,39737.0,Manuel Neuer,4-2-3-1,Michael Oliver,Match Report,,17.0,7.0,18.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9429.0,577.0,29.0,608.0,700.0,15.0,Bayern Munich
2021-09-18,15:30,Bundesliga,Matchweek 5,Sat,Home,W,7,0,Bochum,5.6,0.4,69.0,25000.0,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,24.0,14.0,12.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10520.0,681.0,46.0,729.0,825.0,18.0,Bayern Munich
2021-09-24,20:30,Bundesliga,Matchweek 6,Fri,Away,W,3,1,Greuther Fürth,0.8,0.7,67.0,11740.0,Manuel Neuer,3-4-3,Robert Schröder,Match Report,,12.0,4.0,23.1,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9793.0,623.0,52.0,676.0,777.0,12.0,Bayern Munich
2021-09-29,21:00,Champions Lg,Group stage,Wed,Home,W,5,0,ua Dynamo Kyiv,2.7,0.3,63.0,25000.0,Manuel Neuer,4-2-3-1,Marco Guida,Match Report,,21.0,6.0,18.6,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,10972.0,706.0,34.0,740.0,844.0,23.0,Bayern Munich
2021-10-03,17:30,Bundesliga,Matchweek 7,Sun,Home,L,1,2,Eint Frankfurt,2.2,0.8,72.0,25000.0,Manuel Neuer,4-2-3-1,Florian Badstübner,Match Report,,20.0,10.0,18.8,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,12161.0,781.0,42.0,827.0,935.0,14.0,Bayern Munich
2021-10-17,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5,1,Leverkusen,3.2,0.7,59.0,29542.0,Manuel Neuer,4-2-3-1,Sven Jablonski,Match Report,,27.0,11.0,16.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,9127.0,660.0,32.0,693.0,825.0,12.0,Bayern Munich
2021-10-20,20:00,Champions Lg,Group stage,Wed,Away,W,4,0,pt Benfica,3.0,0.7,66.0,55201.0,Manuel Neuer,4-2-3-1,Ovidiu Hațegan,Match Report,,21.0,7.0,17.7,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,8741.0,549.0,42.0,598.0,680.0,8.0,Bayern Munich
2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Home,W,4,0,Hoffenheim,2.8,0.7,61.0,60000.0,Manuel Neuer,4-2-3-1,Matthias Jöllenbeck,Match Report,,15.0,7.0,15.3,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,9172.0,634.0,59.0,696.0,783.0,14.0,Bayern Munich
2021-10-27,20:45,DFB-Pokal,Round of 32,Wed,Away,L,0,5,M'Gladbach,,,62.0,48500.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,15.0,8.0,,,0.0,0.0,6.0,2.0,0.0,1.0,0.0,,,,,,,Bayern Munich
2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Away,W,5,2,Union Berlin,3.2,0.9,60.0,16509.0,Manuel Neuer,4-2-3-1,Harm Osmers,Match Report,,10.0,5.0,15.1,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,9651.0,600.0,38.0,641.0,751.0,12.0,Bayern Munich
2021-11-02,21:00,Champions Lg,Group stage,Tue,Home,W,5,2,pt Benfica,4.8,1.0,65.0,50000.0,Manuel Neuer,4-2-3-1,Szymon Marciniak,Match Report,,23.0,11.0,17.1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10623.0,640.0,39.0,682.0,790.0,13.0,Bayern Munich
2021-11-06,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Freiburg,2.8,1.0,63.0,75000.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,29.0,11.0,16.9,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,10752.0,634.0,43.0,680.0,819.0,14.0,Bayern Munich
2021-11-19,20:30,Bundesliga,Matchweek 12,Fri,Away,L,1,2,Augsburg,1.2,0.4,78.0,26000.0,Manuel Neuer,4-2-3-1,Daniel Siebert,Match Report,,18.0,4.0,17.9,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,12626.0,779.0,60.0,841.0,944.0,17.0,Bayern Munich
2021-11-23,19:45,Champions Lg,Group stage,Tue,Away,W,2,1,ua Dynamo Kyiv,1.0,1.1,60.0,28732.0,Manuel Neuer,4-2-3-1,Halil Umut Meler,Match Report,,11.0,5.0,19.3,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10738.0,645.0,40.0,687.0,796.0,12.0,Bayern Munich
2021-11-27,18:30,Bundesliga,Matchweek 13,Sat,Home,W,1,0,Arminia,2.2,0.3,73.0,12000.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,22.0,9.0,15.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11207.0,711.0,57.0,771.0,872.0,15.0,Bayern Munich
2021-12-04,18:30,Bundesliga,Matchweek 14,Sat,Away,W,3,2,Dortmund,3.1,1.2,53.0,15000.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,16.0,5.0,21.2,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,7264.0,495.0,54.0,550.0,665.0,16.0,Bayern Munich
2021-12-08,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,es Barcelona,2.4,0.4,52.0,,Manuel Neuer,4-2-3-1,Ovidiu Hațegan,Match Report,,10.0,6.0,15.4,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8429.0,511.0,30.0,545.0,654.0,24.0,Bayern Munich
2021-12-11,15:30,Bundesliga,Matchweek 15,Sat,Home,W,2,1,Mainz 05,1.6,0.8,64.0,,Manuel Neuer,4-2-3-1,Benjamin Cortus,Match Report,,20.0,7.0,15.9,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,11702.0,693.0,47.0,741.0,902.0,27.0,Bayern Munich
2021-12-14,18:30,Bundesliga,Matchweek 16,Tue,Away,W,5,0,Stuttgart,3.5,1.2,56.0,750.0,Manuel Neuer,4-2-3-1,Robert Schröder,Match Report,,25.0,12.0,16.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9449.0,618.0,47.0,665.0,780.0,13.0,Bayern Munich
2021-12-17,20:30,Bundesliga,Matchweek 17,Fri,Home,W,4,0,Wolfsburg,3.6,1.0,63.0,,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,25.0,9.0,17.2,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,10770.0,746.0,28.0,774.0,920.0,21.0,Bayern Munich
2022-01-07,20:30,Bundesliga,Matchweek 18,Fri,Home,L,1,2,M'Gladbach,1.9,1.0,62.0,,Thomas Müller,4-2-3-1,Daniel Siebert,Match Report,,18.0,6.0,18.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,10203.0,667.0,48.0,720.0,868.0,15.0,Bayern Munich
2022-01-15,15:30,Bundesliga,Matchweek 19,Sat,Away,W,4,0,Köln,3.3,1.0,51.0,1000.0,Manuel Neuer,4-2-3-1,Tobias Welz,Match Report,,23.0,9.0,13.3,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,7223.0,471.0,61.0,533.0,667.0,13.0,Bayern Munich
2022-01-23,17:30,Bundesliga,Matchweek 20,Sun,Away,W,4,1,Hertha BSC,5.5,0.9,70.0,3000.0,Manuel Neuer,3-2-4-1,Bastian Dankert,Match Report,,30.0,18.0,15.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,12330.0,763.0,49.0,816.0,924.0,15.0,Bayern Munich
2022-02-05,18:30,Bundesliga,Matchweek 21,Sat,Home,W,3,2,RB Leipzig,3.1,2.1,58.0,10000.0,Manuel Neuer,3-4-3,Sven Jablonski,Match Report,,23.0,7.0,17.3,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,9047.0,619.0,45.0,669.0,766.0,12.0,Bayern Munich
2022-02-12,15:30,Bundesliga,Matchweek 22,Sat,Away,L,2,4,Bochum,1.9,1.4,64.0,10000.0,Thomas Müller,4-2-3-1,Robert Schröder,Match Report,,21.0,4.0,17.4,2.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,8157.0,544.0,64.0,610.0,723.0,18.0,Bayern Munich
2022-02-16,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,at RB Salzburg,2.3,1.1,71.0,29520.0,Thomas Müller,3-2-4-1,Michael Oliver,Match Report,Leg 1 of 2,22.0,9.0,15.9,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10313.0,651.0,60.0,713.0,855.0,16.0,Bayern Munich
2022-02-20,15:30,Bundesliga,Matchweek 23,Sun,Home,W,4,1,Greuther Fürth,1.8,0.8,78.0,25000.0,Thomas Müller,4-2-3-1,Robert Hartmann,Match Report,,20.0,8.0,17.6,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,10854.0,747.0,52.0,802.0,888.0,9.0,Bayern Munich
2022-02-26,18:30,Bundesliga,Matchweek 24,Sat,Away,W,1,0,Eint Frankfurt,2.4,0.9,68.0,25000.0,Robert Lewandowski,3-4-3,Florian Badstübner,Match Report,,21.0,9.0,17.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10687.0,673.0,66.0,744.0,867.0,18.0,Bayern Munich
2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Home,D,1,1,Leverkusen,1.6,2.1,68.0,25000.0,Thomas Müller,4-2-3-1,Daniel Siebert,Match Report,,19.0,5.0,16.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10331.0,689.0,48.0,739.0,853.0,14.0,Bayern Munich
2022-03-08,21:00,Champions Lg,Round of 16,Tue,Home,W,7,1,at RB Salzburg,4.2,0.7,72.0,25000.0,Manuel Neuer,3-2-4-1,Clément Turpin,Match Report,Leg 2 of 2; Bayern Munich won,16.0,7.0,18.1,2.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,12122.0,753.0,44.0,797.0,905.0,21.0,Bayern Munich
2022-03-12,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Hoffenheim,2.9,1.7,62.0,25600.0,Manuel Neuer,3-2-4-1,Robert Schröder,Match Report,,18.0,7.0,14.6,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,9671.0,609.0,50.0,666.0,772.0,12.0,Bayern Munich
2022-03-19,18:30,Bundesliga,Matchweek 27,Sat,Home,W,4,0,Union Berlin,2.7,1.0,70.0,37000.0,Manuel Neuer,4-1-4-1,Harm Osmers,Match Report,,15.0,5.0,21.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,11182.0,773.0,36.0,809.0,918.0,8.0,Bayern Munich
2022-04-02,15:30,Bundesliga,Matchweek 28,Sat,Away,W,4,1,Freiburg,2.1,0.6,61.0,34700.0,Manuel Neuer,4-2-3-1,Christian Dingert,Match Report,,21.0,10.0,18.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,9259.0,616.0,41.0,660.0,771.0,2.0,Bayern Munich
2022-04-06,21:00,Champions Lg,Quarter-finals,Wed,Away,L,0,1,es Villarreal,1.6,1.5,61.0,21626.0,Manuel Neuer,4-2-3-1,Anthony Taylor,Match Report,Leg 1 of 2,22.0,4.0,21.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9299.0,573.0,42.0,618.0,747.0,19.0,Bayern Munich
2022-04-09,15:30,Bundesliga,Matchweek 29,Sat,Home,W,1,0,Augsburg,1.5,0.2,67.0,75000.0,Manuel Neuer,4-2-3-1,Patrick Ittrich,Match Report,,13.0,3.0,20.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10826.0,657.0,59.0,719.0,834.0,16.0,Bayern Munich
2022-04-12,21:00,Champions Lg,Quarter-finals,Tue,Home,D,1,1,es Villarreal,1.4,0.7,68.0,70000.0,Manuel Neuer,3-2-4-1,Slavko Vinčič,Match Report,Leg 2 of 2; Villarreal won,23.0,4.0,21.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10038.0,603.0,41.0,649.0,742.0,11.0,Bayern Munich
